Model,FeatureSet,MAE,RMSE,R2
Ridge,MinimalStableFeatures,8.569094780257515,10.260730576414467,-0.08990031542751584
LinearRegression,MinimalStableFeatures,8.569232800802213,10.26677133665926,-0.09145934422485821
RandomForest,MinimalStableFeatures,8.7716,10.179038135505852,-0.05207754487676027
LassoCV,MinimalStableFeatures,8.784997328229823,10.2252364535439,-0.0586365693042367
SVR,MinimalStableFeatures,8.823810780790303,10.184650834699458,-0.02668086237679137
SVR,TopPermImportance,9.068486113457224,10.544119636245679,-0.09359883509003093
SVR,FullFeatures,9.13148109645474,10.511794631769238,-0.09013456824137696
LassoCV,FullFeatures,9.175184239910243,10.595709999366026,-0.11706431268869355
XGBoost,MinimalStableFeatures,9.179898643493653,10.9453695093066,-0.2335158109664917
RandomForest,FullFeatures,9.2192,10.669427924524097,-0.14083124591362176
RandomForest,TopPermImportance,9.25185,10.788412088816433,-0.1606047752623109
LassoCV,TopPermImportance,9.356387245670659,10.777841634867428,-0.16530112587337856
Ridge,TopPermImportance,9.361150268310272,10.891378019537678,-0.19841138859370983
LinearRegression,TopPermImportance,9.364891523215489,10.896562417325457,-0.19978207614055438
XGBoost,TopPermImportance,9.835738468170167,11.930921713433813,-0.4226963222026825
MLP,TopPermImportance,10.092394888525266,12.374922786960678,-0.5637481914903634
XGBoost,FullFeatures,10.111856651306152,12.027893142308033,-0.47679012417793276
Ridge,FullFeatures,10.466838656931587,12.757292479196684,-0.7593640887356851
LinearRegression,FullFeatures,10.53669714770562,12.844476416819878,-0.7834912195634873
MLP,MinimalStableFeatures,10.939824817422746,13.407626823566753,-0.8179123768605916
MLP,FullFeatures,15.686899762930945,19.295918423460698,-2.986374240061207
